,normalized-losses,wheel-base,length,width,height,curb-weight,num-of-cylinders,engine-size,bore,stroke,compression-rate,horsepower,peak-rpm,city-mpg,highway-mpg,price,mianji,tiji
42,107,96.5,169.1,66,51,2293,4,110,3.15,3.58,9.1,100,5500,25,31,10345,11160.6,569190.6
47,145,113,199.6,69.6,52.8,4066,6,258,3.63,4.17,8.1,176,4750,15,19,32250,13892.16,733506.048
50,104,93.1,159.1,64.2,54.1,1890,4,91,3.03,3.15,9,68,5000,30,31,5195,10214.22,552589.302
51,104,93.1,159.1,64.2,54.1,1900,4,91,3.03,3.15,9,68,5000,31,38,6095,10214.22,552589.302
52,104,93.1,159.1,64.2,54.1,1905,4,91,3.03,3.15,9,68,5000,31,38,6795,10214.22,552589.302
53,113,93.1,166.8,64.2,54.1,1945,4,91,3.03,3.15,9,68,5000,31,38,6695,10708.56,579333.096
54,113,93.1,166.8,64.2,54.1,1950,4,91,3.08,3.15,9,68,5000,31,38,7395,10708.56,579333.096
59,129,98.8,177.8,66.5,53.7,2385,4,122,3.39,3.39,8.6,84,4800,26,32,8845,11823.7,634932.69
60,115,98.8,177.8,66.5,55.5,2410,4,122,3.39,3.39,8.6,84,4800,26,32,8495,11823.7,656215.35
61,129,98.8,177.8,66.5,53.7,2385,4,122,3.39,3.39,8.6,84,4800,26,32,10595,11823.7,634932.69
62,115,98.8,177.8,66.5,55.5,2410,4,122,3.39,3.39,8.6,84,4800,26,32,10245,11823.7,656215.35
64,115,98.8,177.8,66.5,55.5,2425,4,122,3.39,3.39,8.6,84,4800,26,32,11245,11823.7,656215.35
65,118,104.9,175,66.1,54.4,2670,4,140,3.76,3.16,8,120,5000,19,27,18280,11567.5,629272
67,93,110,190.9,70.3,56.5,3515,5,183,3.58,3.64,21.5,123,4350,22,25,25552,13420.27,758245.255
68,93,110,190.9,70.3,58.7,3750,5,183,3.58,3.64,21.5,123,4350,22,25,28248,13420.27,787769.849
69,93,106.7,187.5,70.3,54.9,3495,5,183,3.58,3.64,21.5,123,4350,22,25,28176,13181.25,723650.625
70,93,115.6,202.6,71.7,56.3,3770,5,183,3.58,3.64,21.5,123,4350,22,25,31600,14526.42,817837.446
72,142,96.6,180.3,70.5,50.8,3685,8,234,3.46,3.1,8.3,155,4750,16,18,35056,12711.15,645726.42
76,161,93.7,157.3,64.4,50.8,1918,4,92,2.97,3.23,9.4,68,5500,37,41,5389,10130.12,514610.096
77,161,93.7,157.3,64.4,50.8,1944,4,92,2.97,3.23,9.4,68,5500,31,38,6189,10130.12,514610.096
78,161,93.7,157.3,64.4,50.8,2004,4,92,2.97,3.23,9.4,68,5500,31,38,6669,10130.12,514610.096
79,161,93,157.3,63.8,50.8,2145,4,98,3.03,3.39,7.6,102,5500,24,30,7689,10035.74,509815.592
80,153,96.3,173,65.4,49.4,2370,4,110,3.17,3.46,7.5,116,5500,23,30,9959,11314.2,558921.48
81,153,96.3,173,65.4,49.4,2328,4,122,3.35,3.46,8.5,88,5000,25,32,8499,11314.2,558921.48
85,125,96.3,172.4,65.4,51.6,2365,4,122,3.35,3.46,8.5,88,5000,25,32,6989,11274.96,581787.936
86,125,96.3,172.4,65.4,51.6,2405,4,122,3.35,3.46,8.5,88,5000,25,32,8189,11274.96,581787.936
87,125,96.3,172.4,65.4,51.6,2403,4,110,3.17,3.46,7.5,116,5500,23,30,9279,11274.96,581787.936
88,137,96.3,172.4,65.4,51.6,2403,4,110,3.17,3.46,7.5,116,5500,23,30,9279,11274.96,581787.936
89,128,94.5,165.3,63.8,54.5,1889,4,97,3.15,3.29,9.4,69,5200,31,37,5499,10546.14,574764.63
90,128,94.5,165.3,63.8,54.5,2017,4,103,2.99,3.47,21.9,55,4800,45,50,7099,10546.14,574764.63
91,128,94.5,165.3,63.8,54.5,1918,4,97,3.15,3.29,9.4,69,5200,31,37,6649,10546.14,574764.63
92,122,94.5,165.3,63.8,54.5,1938,4,97,3.15,3.29,9.4,69,5200,31,37,6849,10546.14,574764.63
93,103,94.5,170.2,63.8,53.5,2024,4,97,3.15,3.29,9.4,69,5200,31,37,7349,10858.76,580943.66
94,128,94.5,165.3,63.8,54.5,1951,4,97,3.15,3.29,9.4,69,5200,31,37,7299,10546.14,574764.63
95,128,94.5,165.6,63.8,53.3,2028,4,97,3.15,3.29,9.4,69,5200,31,37,7799,10565.28,563129.424
96,122,94.5,165.3,63.8,54.5,1971,4,97,3.15,3.29,9.4,69,5200,31,37,7499,10546.14,574764.63
97,103,94.5,170.2,63.8,53.5,2037,4,97,3.15,3.29,9.4,69,5200,31,37,7999,10858.76,580943.66
98,168,95.1,162.4,63.8,53.3,2008,4,97,3.15,3.29,9.4,69,5200,31,37,8249,10361.12,552247.696
99,106,97.2,173.4,65.2,54.7,2324,4,120,3.33,3.47,8.5,97,5200,27,34,8949,11305.68,618420.696
100,106,97.2,173.4,65.2,54.7,2302,4,120,3.33,3.47,8.5,97,5200,27,34,9549,11305.68,618420.696
101,128,100.4,181.7,66.5,55.1,3095,6,181,3.43,3.27,9,152,5200,17,22,13499,12083.05,665776.055
102,108,100.4,184.6,66.5,56.1,3296,6,181,3.43,3.27,9,152,5200,17,22,14399,12275.9,688677.99
103,108,100.4,184.6,66.5,55.1,3060,6,181,3.43,3.27,9,152,5200,19,25,13499,12275.9,676402.09
104,194,91.3,170.7,67.9,49.7,3071,6,181,3.43,3.27,9,160,5200,19,25,17199,11590.53,576049.341
105,194,91.3,170.7,67.9,49.7,3139,6,181,3.43,3.27,7.8,200,5200,17,23,19699,11590.53,576049.341
106,231,99.2,178.5,67.9,49.7,3139,6,181,3.43,3.27,9,160,5200,19,25,18399,12120.15,602371.455
107,161,107.9,186.7,68.4,56.7,3020,4,120,3.46,3.19,8.4,97,5000,19,24,11900,12770.28,724074.876
108,161,107.9,186.7,68.4,56.7,3197,4,152,3.7,3.52,21,95,4150,28,33,13200,12770.28,724074.876
111,161,107.9,186.7,68.4,56.7,3075,4,120,3.46,2.19,8.4,95,5000,19,24,15580,12770.28,724074.876
112,161,107.9,186.7,68.4,56.7,3252,4,152,3.7,3.52,21,95,4150,28,33,16900,12770.28,724074.876
115,161,107.9,186.7,68.4,56.7,3075,4,120,3.46,3.19,8.4,97,5000,19,24,16630,12770.28,724074.876
116,161,107.9,186.7,68.4,56.7,3252,4,152,3.7,3.52,21,95,4150,28,33,17950,12770.28,724074.876
117,161,108,186.7,68.3,56,3130,4,134,3.61,3.21,7,142,5600,18,24,18150,12751.61,714090.16
118,119,93.7,157.3,63.8,50.8,1918,4,90,2.97,3.23,9.4,68,5500,37,41,5572,10035.74,509815.592
119,119,93.7,157.3,63.8,50.8,2128,4,98,3.03,3.39,7.6,102,5500,24,30,7957,10035.74,509815.592
120,154,93.7,157.3,63.8,50.6,1967,4,90,2.97,3.23,9.4,68,5500,31,38,6229,10035.74,507808.444
121,154,93.7,167.3,63.8,50.8,1989,4,90,2.97,3.23,9.4,68,5500,31,38,6692,10673.74,542225.992
122,154,93.7,167.3,63.8,50.8,2191,4,98,2.97,3.23,9.4,68,5500,31,38,7609,10673.74,542225.992
123,74,103.3,174.6,64.6,59.8,2535,4,122,3.35,3.46,8.5,88,5000,24,30,8921,11279.16,674493.768
125,186,94.5,168.9,68.3,50.2,2778,4,151,3.94,3.11,9.5,143,5500,19,27,22018,11535.87,579100.674
132,150,99.1,186.6,66.5,56.1,2658,4,121,3.54,3.07,9.31,110,5250,21,28,11850,12408.9,696139.29
133,104,99.1,186.6,66.5,56.1,2695,4,121,3.54,3.07,9.3,110,5250,21,28,12170,12408.9,696139.29
134,150,99.1,186.6,66.5,56.1,2707,4,121,2.54,2.07,9.3,110,5250,21,28,15040,12408.9,696139.29
135,104,99.1,186.6,66.5,56.1,2758,4,121,3.54,3.07,9.3,110,5250,21,28,15510,12408.9,696139.29
136,150,99.1,186.6,66.5,56.1,2808,4,121,3.54,3.07,9,160,5500,19,26,18150,12408.9,696139.29
137,104,99.1,186.6,66.5,56.1,2847,4,121,3.54,3.07,9,160,5500,19,26,18620,12408.9,696139.29
138,83,93.7,156.9,63.4,53.7,2050,4,97,3.62,2.36,9,69,4900,31,36,5118,9947.46,534178.602
139,83,93.7,157.9,63.6,53.7,2120,4,108,3.62,2.64,8.7,73,4400,26,31,7053,10042.44,539279.028
140,83,93.3,157.3,63.8,55.7,2240,4,108,3.62,2.64,8.7,73,4400,26,31,7603,10035.74,558990.718
141,102,97.2,172,65.4,52.5,2145,4,108,3.62,2.64,9.5,82,4800,32,37,7126,11248.8,590562
142,102,97.2,172,65.4,52.5,2190,4,108,3.62,2.64,9.5,82,4400,28,33,7775,11248.8,590562
143,102,97.2,172,65.4,52.5,2340,4,108,3.62,2.64,9,94,5200,26,32,9960,11248.8,590562
144,102,97,172,65.4,54.3,2385,4,108,3.62,2.64,9,82,4800,24,25,9233,11248.8,610809.84
145,102,97,172,65.4,54.3,2510,4,108,3.62,2.64,7.7,111,4800,24,29,11259,11248.8,610809.84
146,89,97,173.5,65.4,53,2290,4,108,3.62,2.64,9,82,4800,28,32,7463,11346.9,601385.7
147,89,97,173.5,65.4,53,2455,4,108,3.62,2.64,9,94,5200,25,31,10198,11346.9,601385.7
148,85,96.9,173.6,65.4,54.9,2420,4,108,3.62,2.64,9,82,4800,23,29,8013,11353.44,623303.856
149,85,96.9,173.6,65.4,54.9,2650,4,108,3.62,2.64,7.7,111,4800,23,23,11694,11353.44,623303.856
150,87,95.7,158.7,63.6,54.5,1985,4,92,3.05,3.03,9,62,4800,35,39,5348,10093.32,550085.94
151,87,95.7,158.7,63.6,54.5,2040,4,92,3.05,3.03,9,62,4800,31,38,6338,10093.32,550085.94
152,74,95.7,158.7,63.6,54.5,2015,4,92,3.05,3.03,9,62,4800,31,38,6488,10093.32,550085.94
153,77,95.7,169.7,63.6,59.1,2280,4,92,3.05,3.03,9,62,4800,31,37,6918,10792.92,637861.572
154,81,95.7,169.7,63.6,59.1,2290,4,92,3.05,3.03,9,62,4800,27,32,7898,10792.92,637861.572
155,91,95.7,169.7,63.6,59.1,3110,4,92,3.05,3.03,9,62,4800,27,32,8778,10792.92,637861.572
156,91,95.7,166.3,64.4,53,2081,4,98,3.19,3.03,9,70,4800,30,37,6938,10709.72,567615.16
157,91,95.7,166.3,64.4,52.8,2109,4,98,3.19,3.03,9,70,4800,30,37,7198,10709.72,565473.216
158,91,95.7,166.3,64.4,53,2275,4,110,3.27,3.35,22.5,56,4500,34,36,7898,10709.72,567615.16
159,91,95.7,166.3,64.4,52.8,2275,4,110,3.27,3.35,22.5,56,4500,38,47,7788,10709.72,565473.216
160,91,95.7,166.3,64.4,53,2094,4,98,3.19,3.03,9,70,4800,38,47,7738,10709.72,567615.16
161,91,95.7,166.3,64.4,52.8,2122,4,98,3.19,3.03,9,70,4800,28,34,8358,10709.72,565473.216
162,91,95.7,166.3,64.4,52.8,2140,4,98,3.19,3.03,9,70,4800,28,34,9258,10709.72,565473.216
163,168,94.5,168.7,64,52.6,2169,4,98,3.19,3.03,9,70,4800,29,34,8058,10796.8,567911.68
164,168,94.5,168.7,64,52.6,2204,4,98,3.19,3.03,9,70,4800,29,34,8238,10796.8,567911.68
165,168,94.5,168.7,64,52.6,2265,4,98,3.24,3.08,9.4,112,6600,26,29,9298,10796.8,567911.68
166,168,94.5,168.7,64,52.6,2300,4,98,3.24,3.08,9.4,112,6600,26,29,9538,10796.8,567911.68
167,134,98.4,176.2,65.6,52,2540,4,146,3.62,3.5,9.3,116,4800,24,30,8449,11558.72,601053.44
168,134,98.4,176.2,65.6,52,2536,4,146,3.62,3.5,9.3,116,4800,24,30,9639,11558.72,601053.44
169,134,98.4,176.2,65.6,52,2551,4,146,3.62,3.5,9.3,116,4800,24,30,9989,11558.72,601053.44
170,134,98.4,176.2,65.6,52,2679,4,146,3.62,3.5,9.3,116,4800,24,30,11199,11558.72,601053.44
171,134,98.4,176.2,65.6,52,2714,4,146,3.62,3.5,9.3,116,4800,24,30,11549,11558.72,601053.44
172,134,98.4,176.2,65.6,53,2975,4,146,3.62,3.5,9.3,116,4800,24,30,17669,11558.72,612612.16
173,65,102.4,175.6,66.5,54.9,2326,4,122,3.31,3.54,8.7,92,4200,29,34,8948,11677.4,641089.26
174,65,102.4,175.6,66.5,54.9,2480,4,110,3.27,3.35,22.5,73,4500,30,33,10698,11677.4,641089.26
175,65,102.4,175.6,66.5,53.9,2414,4,122,3.31,3.54,8.7,92,4200,27,32,9988,11677.4,629411.86
176,65,102.4,175.6,66.5,54.9,2414,4,122,3.31,3.54,8.7,92,4200,27,32,10898,11677.4,641089.26
177,65,102.4,175.6,66.5,53.9,2458,4,122,3.31,3.54,8.7,92,4200,27,32,11248,11677.4,629411.86
178,197,102.9,183.5,67.7,52,2976,6,171,3.27,3.35,9.3,161,5200,20,24,16558,12422.95,645993.4
179,197,102.9,183.5,67.7,52,3016,6,171,3.27,3.35,9.3,161,5200,19,24,15998,12422.95,645993.4
180,90,104.5,187.8,66.5,54.1,3131,6,171,3.27,3.35,9.2,156,5200,20,24,15690,12488.7,675638.67
182,122,97.3,171.7,65.5,55.7,2261,4,97,3.01,3.4,23,52,4800,37,46,7775,11246.35,626421.695
183,122,97.3,171.7,65.5,55.7,2209,4,109,3.19,3.4,9,85,5250,27,34,7975,11246.35,626421.695
184,94,97.3,171.7,65.5,55.7,2264,4,97,3.01,3.4,23,52,4800,37,46,7995,11246.35,626421.695
185,94,97.3,171.7,65.5,55.7,2212,4,109,3.19,3.4,9,85,5250,27,34,8195,11246.35,626421.695
186,94,97.3,171.7,65.5,55.7,2275,4,109,3.19,3.4,9,85,5250,27,34,8495,11246.35,626421.695
187,94,97.3,171.7,65.5,55.7,2319,4,97,3.01,3.4,23,68,4500,37,42,9495,11246.35,626421.695
188,94,97.3,171.7,65.5,55.7,2300,4,109,3.19,3.4,10,100,5500,26,32,9995,11246.35,626421.695
190,256,94.5,165.7,64,51.4,2221,4,109,3.19,3.4,8.5,90,5500,24,29,9980,10604.8,545086.72
194,103,104.3,188.8,67.2,56.2,2912,4,141,3.78,3.15,9.5,114,5400,23,28,12940,12687.36,713029.632
195,74,104.3,188.8,67.2,57.5,3034,4,141,3.78,3.15,9.5,114,5400,23,28,13415,12687.36,729523.2
196,103,104.3,188.8,67.2,56.2,2935,4,141,3.78,3.15,9.5,114,5400,24,28,15985,12687.36,713029.632
197,74,104.3,188.8,67.2,57.5,3042,4,141,3.78,3.15,9.5,114,5400,24,28,16515,12687.36,729523.2
198,103,104.3,188.8,67.2,56.2,3045,4,130,3.62,3.15,7.5,162,5100,17,22,18420,12687.36,713029.632
199,74,104.3,188.8,67.2,57.5,3157,4,130,3.62,3.15,7.5,162,5100,17,22,18950,12687.36,729523.2
200,95,109.1,188.8,68.9,55.5,2952,4,141,3.78,3.15,9.5,114,5400,23,28,16845,13008.32,721961.76
201,95,109.1,188.8,68.8,55.5,3049,4,141,3.78,3.15,8.7,160,5300,19,25,19045,12989.44,720913.92
202,95,109.1,188.8,68.9,55.5,3012,6,173,3.58,2.87,8.8,134,5500,18,23,21485,13008.32,721961.76
203,95,109.1,188.8,68.9,55.5,3217,6,145,3.01,3.4,23,106,4800,26,27,22470,13008.32,721961.76
204,95,109.1,188.8,68.9,55.5,3062,4,141,3.78,3.15,9.5,114,5400,19,25,22625,13008.32,721961.76
,,,,,,,,,,,,,,,,,12598.10491,
